text,created_at
"To date, the FDA has currently authorized 226 tests under EUAs; these include 182 molecular tests, 40 antibody tests, and 4 antigen tests.",8/28/2020
We approved an Abbreviated New Drug Application for a drug indicated to sedate initially intubated and mechanically ventilated patients in intensive care and to sedate non-intubated patients before and/or during surgery and other procedures. https://t.co/iitKhvm4L1,8/28/2020
FDA has taken more action to facilitate access to medical products during the #COVID19 pandemic. https://t.co/mKFTHVJEND https://t.co/WeWsifYg5z,8/28/2020
"We expanded the scope of the EUA to include hospitalized patients with mild or moderate #COVID19 based on our ongoing review of remdesivir, including reviewing scientific data from two randomized, controlled clinical trials.",8/28/2020
"The expanded EUA allows remdesivir for the treatment of all hospitalized adults and children with suspected or lab-confirmed #COVID19, regardless of their severity of disease.",8/28/2020
"Today, FDA broadened the emergency use authorization (EUA) for remdesivir as part of our ongoing efforts to fight #COVID19. https://t.co/zJrVzgHqn4 https://t.co/GcjpvhWL8a",8/28/2020
"Freshly squeezed juice can be so refreshing, especially in the summer! What’s not refreshing is bacteria transferred from raw produce to your juice: Learn how you can prevent food poisoning: https://t.co/C1n1CHsWdN https://t.co/SvJwynRWE8",8/28/2020
Participating in a clinical trial during #COVID19? Here’s what you need to know about how clinical trials may change due to the pandemic: https://t.co/10qbQOlBn6 https://t.co/qDwpSNzOac,8/28/2020
"To date, the FDA has currently authorized 226 tests under EUAs; these include 182 molecular tests, 40 antibody tests, and 4 antigen tests.",8/27/2020
"We issued an emergency use authorization for the first #COVID19 diagnostic test where results can be read directly from the testing card. The EUA for the antigen test was issued to Abbott Diagnostics Scarborough, Inc. for BinaxNOW COVID-19 Ag Card https://t.co/6YHP9drjTG",8/27/2020
"Beware of alcohol-based hand sanitizers packaged in containers that may appear as food or drinks. Hand sanitizer can be toxic if ingested. FDA found hand sanitizers packaged in beer cans; children’s food pouches; and water, juice and vodka bottles. https://t.co/HZTD4JGzH0",8/27/2020
Here are some of the FDA’s latest actions in our ongoing response to #COVID19. https://t.co/MOSTn8NUgV https://t.co/myLn6KGR1H,8/27/2020
"RT @FDAfood : When teaching children about #nutrition, it’s what’s on the back (or side) that counts. Read the Label has activities to help kids learn about the #NewNutritionFactsLabel on packaged foods. https://t.co/zR1hlYIWzL https://t.co/h0hnAoGoRT",8/27/2020
"RT @FDADeviceInfo : It is #HurricaneSeason and if you use a #MedicalDevice that could be affected by a power outage caused by heavy rain and flooding, the @US_FDA wants you to check out our tips for using a generator to restore power to your device: https://t.co/kOUgg4H97g #HurricaneLaura https://t.co/AmsHCd8QvK",8/27/2020
We will be as open and transparent as possible about our review of a #COVID19 vaccine. Science alone drives the agency’s regulatory decision-making.,8/27/2020
"Today, we announced that a public meeting of the Vaccines and Related Biological Products Advisory Committee will be held on Oct. 22, 2020, to discuss the development, authorization, and/or licensure of vaccines indicated to prevent #COVID19. https://t.co/ZFag3qdctX https://t.co/u8CQCAeuRy",8/27/2020
"RT @FDAWomen : During #BlackBreasfeedingWeek, we encourage expecting &amp; new moms to research the best options for mom &amp; baby. Use this @womenshealth guide to get info about how to breastfeed, tips for breastfeeding in public, FAQs &amp; more: https://t.co/SdVQYgVXgU https://t.co/FeARrGIjjk",8/27/2020
"New regulatory tools may help replace, reduce and refine animal testing.  One novel tool is Microphysiological Systems. FDA invites comments on its draft definitions for Microphysiological Systems and for Organs on a Chip:  https://t.co/utxV8HapE5",8/27/2020
"Applications for premarket review of deemed new tobacco products on the market as of 8/8/16 are required to be filed by 9/9/20. To help manufacturers preparing and submitting apps, @FDATobacco has posted multiple tobacco app. tips. Find them here: https://t.co/eHEdTIogL9 https://t.co/sXR2yDOxuS",8/27/2020
